Date,High,Low,Volume
2002-05-23,$1.24,$1.15,104790000
2002-05-24,$1.23,$1.20,11104800
2002-05-28,$1.23,$1.16,6609400
2002-05-29,$1.16,$1.09,6757800
2002-05-30,$1.11,$1.07,10154200
2002-05-31,$1.08,$1.07,8464400
2002-06-03,$1.15,$1.08,3151400
2002-06-04,$1.14,$1.11,3105200
2002-06-05,$1.16,$1.11,1531600
2002-06-06,$1.23,$1.15,2305800
2002-06-07,$1.18,$1.10,1369200
2002-06-10,$1.18,$1.13,484400
2002-06-11,$1.19,$1.13,1003800
2002-06-12,$1.18,$1.09,1799000
2002-06-13,$1.12,$1.08,2567600
2002-06-14,$1.09,$0.98,4783800
2002-06-17,$1.06,$0.92,4855200
2002-06-18,$0.94,$0.84,10808000
2002-06-19,$1.00,$0.89,5482400
2002-06-20,$1.04,$0.95,6111000
2002-06-21,$0.99,$0.95,2346400
2002-06-24,$1.01,$0.96,2567600
2002-06-25,$1.01,$0.95,3941000
2002-06-26,$1.00,$0.92,2924600
2002-06-27,$1.02,$0.94,3817800
2002-06-28,$1.01,$0.96,9234400
2002-07-01,$1.05,$0.99,4585000
2002-07-02,$1.20,$1.04,9020200
2002-07-03,$1.21,$1.12,4957400
2002-07-05,$1.30,$1.21,2003400
2002-07-08,$1.25,$1.17,1953000
2002-07-09,$1.20,$1.11,2935800
2002-07-10,$1.18,$1.13,1554000
2002-07-11,$1.28,$1.13,2529800
2002-07-12,$1.28,$1.21,2837800
2002-07-15,$1.25,$1.08,4239200
2002-07-16,$1.16,$1.10,1941800
2002-07-17,$1.16,$1.08,1261400
2002-07-18,$1.17,$1.11,2899400
2002-07-19,$1.16,$1.12,1792000
2002-07-22,$1.18,$1.12,1993600
2002-07-23,$1.21,$1.13,1577800
2002-07-24,$1.16,$1.07,3355800
2002-07-25,$1.13,$1.04,4755800
2002-07-26,$1.06,$0.85,7046200
2002-07-29,$0.92,$0.85,3260600
2002-07-30,$0.94,$0.89,3777200
2002-07-31,$0.96,$0.91,3333400
2002-08-01,$0.96,$0.88,4529000
2002-08-02,$0.89,$0.71,6655600
2002-08-05,$0.81,$0.76,3808000
2002-08-06,$0.80,$0.74,3217200
2002-08-07,$0.79,$0.74,2758000
2002-08-08,$0.80,$0.75,2283400
2002-08-09,$0.82,$0.78,1500800
2002-08-12,$0.81,$0.75,2130800
2002-08-13,$0.81,$0.75,1677200
2002-08-14,$0.83,$0.77,4047400
2002-08-15,$0.91,$0.83,3263400
2002-08-16,$0.92,$0.86,1828400
2002-08-19,$0.98,$0.92,2074800
2002-08-20,$0.99,$0.92,2539600
2002-08-21,$0.97,$0.92,2779000
2002-08-22,$1.00,$0.93,2963800
2002-08-23,$1.00,$0.97,2406600
2002-08-26,$1.00,$0.94,2644600
2002-08-27,$0.97,$0.86,4984000
2002-08-28,$0.89,$0.83,2275000
2002-08-29,$0.92,$0.82,2395400
2002-08-30,$0.96,$0.89,2121000
2002-09-03,$0.96,$0.91,1593200
2002-09-04,$0.95,$0.91,373800
2002-09-05,$0.94,$0.91,285600
2002-09-06,$0.94,$0.91,763000
2002-09-09,$0.93,$0.89,1419600
2002-09-10,$0.95,$0.89,4746000
2002-09-11,$0.98,$0.94,1629600
2002-09-12,$0.97,$0.91,1943200
2002-09-13,$0.93,$0.86,2485000
2002-09-16,$0.89,$0.85,3512600
2002-09-17,$0.86,$0.83,2863000
2002-09-18,$0.84,$0.79,1521800
